
MA0836.1,CEBPD,Basic leucine zipper factors (bZIP),CEBP-related
MA0836.2,CEBPD,Basic leucine zipper factors (bZIP),CEBP-related
MA0836.3,CEBPD,Basic leucine zipper factors (bZIP),CEBP-related
MA0837.1,CEBPE,Basic leucine zipper factors (bZIP),CEBP-related
MA0837.2,CEBPE,Basic leucine zipper factors (bZIP),CEBP-related
MA0837.3,CEBPE,Basic leucine zipper factors (bZIP),CEBP-related
MA0838.1,CEBPG,Basic leucine zipper factors (bZIP),CEBP-related
MA1636.1,CEBPG,Basic leucine zipper factors (bZIP),CEBP-related
MA1636.2,CEBPG,Basic leucine zipper factors (bZIP),CEBP-related
MA0819.1,CLOCK,Basic helix-loop-helix factors (bHLH),PAS domain factors
MA0819.2,CLOCK,Basic helix-loop-helix factors (bHLH),PAS domain factors
MA0819.3,CLOCK,Basic helix-loop-helix factors (bHLH),PAS domain factors
MA0018.1,CREB1,Basic leucine zipper factors (bZIP),CREB-related factors
MA0018.2,CREB1,Basic leucine zipper factors (bZIP),CREB-related factors
MA0018.3,CREB1,Basic leucine zipper factors (bZIP),CREB-related factors
MA0018.4,CREB1,Basic leucine zipper factors (bZIP),CREB-related factors
MA0018.5,CREB1,Basic leucine zipper factors (bZIP),CREB-related factors
MA0638.1,CREB3,Basic leucine zipper factors (bZIP),CREB-related factors
MA0638.2,CREB3,Basic leucine zipper factors (bZIP),CREB-related factors
MA0839.1,CREB3L1,Basic leucine zipper factors (bZIP),CREB-related factors
MA0839.2,CREB3L1,Basic leucine zipper factors (bZIP),CREB-related factors
MA1474.1,CREB3L4,Basic leucine zipper factors (bZIP),CREB-related factors
MA1475.1,CREB3L4,Basic leucine zipper factors (bZIP),CREB-related factors
MA1474.2,CREB3L4,Basic leucine zipper factors (bZIP),CREB-related factors
MA1475.2,CREB3L4,Basic leucine zipper factors (bZIP),CREB-related factors
MA0609.2,CREM,Basic leucine zipper factors (bZIP),CREB-related factors
MA0609.3,CREM,Basic leucine zipper factors (bZIP),CREB-related factors
MA0139.1,CTCF,C2H2 zinc finger factors,More than 3 adjacent zinc fingers
MA1929.1,CTCF,C2H2 zinc finger factors,More than 3 adjacent zinc fingers
MA1930.1,CTCF,C2H2 zinc finger factors,More than 3 adjacent zinc fingers
MA0139.2,CTCF,C2H2 zinc finger factors,More than 3 adjacent zinc fingers
MA1929.2,CTCF,C2H2 zinc finger factors,More than 3 adjacent zinc fingers
MA1930.2,CTCF,C2H2 zinc finger factors,More than 3 adjacent zinc fingers
MA1102.1,CTCFL,C2H2 zinc finger factors,More than 3 adjacent zinc fingers
MA1102.2,CTCFL,C2H2 zinc finger factors,More than 3 adjacent zinc fingers
MA1102.3,CTCFL,C2H2 zinc finger factors,More than 3 adjacent zinc fingers
