file, cpu, mem(GBs), io(GB), vmem(M), maxvmem(M), nproc, time(s), inputfilesize(B)
MCF7_r5e7_s81_TOBIAS.qsub.sh.o830254, 23:06:42, 65811.71822, 971.98108, 5.754M, 13.216G, 8, 12270, 6615357743
SKNSH_r1e7_s34_TOBIAS.qsub.sh.o830262, 17:14:18, 48483.58586, 761.75805, 3.570M, 14.467G, 8, 9196, 1482997785
HEPG2_r1e6_s44_TOBIAS.qsub.sh.o830203, 14:18:40, 38036.92571, 621.50878, 14.305M, 14.667G, 8, 7544, 185775365
MCF7_r1e6_s75_TOBIAS.qsub.sh.o830241, 13:51:36, 33475.25427, 591.24528, 3.664M, 13.188G, 8, 7295, 190019039
SKNSH_r1e7_s33_TOBIAS.qsub.sh.o830261, 24:04:59, 70219.70334, 735.55884, 3.641M, 14.400G, 8, 12787, 1484365991
SKNSH_r1e8_s71_TOBIAS.qsub.sh.o830266, 26:36:27, 82976.71239, 1240.11552, 12.062M, 14.756G, 8, 14024, 12407657241
K562_r1e6_s95_TOBIAS.qsub.sh.o830223, 19:17:25, 55288.48198, 727.02450, 5.809M, 16.193G, 8, 10063, 204628395
SKNSH_r1e7_s84_TOBIAS.qsub.sh.o830263, 17:08:28, 48173.09140, 793.85339, 5.586M, 14.447G, 8, 9100, 1484679326
HEPG2_r5e7_s76_TOBIAS.qsub.sh.o830216, 21:02:48, 62607.44487, 1067.60041, 3.598M, 14.712G, 8, 11150, 6575884105
HEPG2_r1e7_s62_TOBIAS.qsub.sh.o830207, 26:11:13, 79006.38895, 729.05500, 11.797M, 14.677G, 8, 13726, 1466770813
K562_r1e8_s68_TOBIAS.qsub.sh.o830228, 25:28:02, 86341.83040, 1410.84372, 3.875M, 16.544G, 8, 13529, 13811467968
K562_r1e7_s24_TOBIAS.qsub.sh.o830225, 19:49:32, 61495.77201, 852.27869, 5.859M, 16.166G, 8, 10418, 1625819168
HEPG2_r5e8_s31_TOBIAS.qsub.sh.o830218, 35:58:28, 118401.46747, 2619.38495, 5.840M, 16.669G, 8, 18453, 54282329735
GM12878_r5e7_s72_TOBIAS.qsub.sh.o830198, 23:29:35, 73582.68689, 1133.09986, 5.648M, 15.962G, 8, 12395, 6374086998
SKNSH_r5e7_s41_TOBIAS.qsub.sh.o830271, 24:16:59, 74888.93591, 1080.18184, 5.719M, 14.501G, 8, 12755, 6535037840
MCF7_r1e6_s67_TOBIAS.qsub.sh.o830240, 15:38:36, 37516.91972, 606.73802, 3.574M, 13.176G, 8, 8175, 189668131
GM12878_r5e8_s15_TOBIAS.qsub.sh.o830201, 35:41:54, 129488.17803, 2806.24103, 3.613M, 18.197G, 8, 18306, 51406004166
HEPG2_r1e6_s9_TOBIAS.qsub.sh.o830205, 17:29:57, 45999.44566, 667.42589, 5.801M, 14.651G, 8, 9152, 185507252
K562_r5e7_s35_TOBIAS.qsub.sh.o830233, 23:25:27, 77999.37454, 1158.10108, 13.102M, 16.231G, 8, 12426, 7232551266
K562_r5e6_s88_TOBIAS.qsub.sh.o830232, 20:18:12, 62072.80912, 768.14888, 12.176M, 16.117G, 8, 10619, 858350193
GM12878_r1e7_s61_TOBIAS.qsub.sh.o830189, 22:13:34, 70460.24740, 846.18107, 5.750M, 15.935G, 8, 11704, 1443481902
HEPG2_r1e8_s65_TOBIAS.qsub.sh.o830209, 30:36:24, 97924.35926, 1235.03828, 5.848M, 14.748G, 8, 16103, 12520154513
