,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line
SKNSH_f06_s26,0.6,0,511599447,60714,60714,511599447,185634268,278451402,464085670,frip,26,0.6,SKNSH
MCF7_f06_s34,0.6,0,301976878,32303,32303,301976878,109769441,164654162,274423603,frip,34,0.6,MCF7
SKNSH_f005_s56,0.05,0,241754891,60714,60714,241754891,697233715,36696511,733930226,frip,56,0.05,SKNSH
HEPG2_f005_s76,0.05,0,159527414,25043,25042,159527414,454695021,23931317,478626338,frip,76,0.05,HEPG2
SKNSH_f005_s4,0.05,0,241754891,60714,60714,241754891,697233715,36696511,733930226,frip,4,0.05,SKNSH
HEPG2_f005_s95,0.05,0,159527414,25043,25042,159527414,454695021,23931317,478626338,frip,95,0.05,HEPG2
GM12878_f005_s91,0.05,0,254434869,30246,30235,254434869,585584726,30820249,616404975,frip,91,0.05,GM12878
SKNSH_f005_s86,0.05,0,241754891,60714,60713,241754891,697233715,36696511,733930226,frip,86,0.05,SKNSH
MCF7_f005_s76,0.05,0,142983303,32303,32302,142983303,411746319,21670859,433417178,frip,76,0.05,MCF7
GM12878_f005_s40,0.05,0,254434869,30246,30235,254434869,585584726,30820249,616404975,frip,40,0.05,GM12878
K562_f005_s74,0.05,0,194332960,48060,48058,194332960,514801538,27094818,541896356,frip,74,0.05,K562
MCF7_f005_s39,0.05,0,142983303,32303,32302,142983303,411746319,21670859,433417178,frip,39,0.05,MCF7
GM12878_f005_s21,0.05,0,254434869,30246,30234,254434869,585584726,30820249,616404975,frip,21,0.05,GM12878
MCF7_f005_s27,0.05,0,142983303,32303,32300,142983303,411746319,21670859,433417178,frip,27,0.05,MCF7
K562_f005_s45,0.05,0,194332960,48060,48060,194332960,514801538,27094818,541896356,frip,45,0.05,K562
K562_f005_s96,0.05,0,194332960,48060,48059,194332960,514801538,27094818,541896356,frip,96,0.05,K562
HEPG2_f005_s1,0.05,0,159527414,25043,25041,159527414,454695021,23931317,478626338,frip,1,0.05,HEPG2
SKNSH_f04_s34,0.4,0,279556612,60714,60714,279556612,417677103,278451402,696128505,frip,34,0.4,SKNSH
K562_f04_s7,0.4,0,182659871,48060,48060,182659871,332141667,221427778,553569445,frip,7,0.4,K562
K562_f04_s28,0.4,0,182659871,48060,48060,182659871,332141667,221427778,553569445,frip,28,0.4,K562
HEPG2_f04_s24,0.4,0,179506925,25043,25043,179506925,275188096,183458731,458646827,frip,24,0.4,HEPG2
MCF7_f04_s17,0.4,0,164765076,32303,32303,164765076,246981243,164654162,411635405,frip,17,0.4,MCF7
GM12878_f04_s50,0.4,0,157702049,30246,29943,157702049,427882677,285255118,713137795,frip,50,0.4,GM12878
MCF7_f04_s33,0.4,0,164765076,32303,32303,164765076,246981243,164654162,411635405,frip,33,0.4,MCF7
K562_f04_s6,0.4,0,182659871,48060,48060,182659871,332141667,221427778,553569445,frip,6,0.4,K562
MCF7_f04_s97,0.4,0,164765076,32303,32303,164765076,246981243,164654162,411635405,frip,97,0.4,MCF7
GM12878_f04_s28,0.4,0,157702049,30246,29958,157702049,427882677,285255118,713137795,frip,28,0.4,GM12878
HEPG2_f04_s36,0.4,0,179506925,25043,25043,179506925,275188096,183458731,458646827,frip,36,0.4,HEPG2
HEPG2_f04_s68,0.4,0,179506925,25043,25043,179506925,275188096,183458731,458646827,frip,68,0.4,HEPG2
SKNSH_f04_s92,0.4,0,279556612,60714,60714,279556612,417677103,278451402,696128505,frip,92,0.4,SKNSH
SKNSH_f04_s61,0.4,0,279556612,60714,60714,279556612,417677103,278451402,696128505,frip,61,0.4,SKNSH
GM12878_f04_s52,0.4,0,157702049,30246,29954,157702049,427882677,285255118,713137795,frip,52,0.4,GM12878
SKNSH_f01_s29,0.1,0,200980989,60714,60714,200980989,697233715,77470413,774704128,frip,29,0.1,SKNSH
GM12878_f01_s40,0.1,0,220190148,30246,30235,220190148,585584726,65064970,650649696,frip,40,0.1,GM12878
K562_f01_s56,0.1,0,164227607,48060,48059,164227607,514801538,57200171,572001709,frip,56,0.1,K562
HEPG2_f01_s36,0.1,0,132937062,25043,25042,132937062,454695021,50521669,505216690,frip,36,0.1,HEPG2
K562_f01_s33,0.1,0,164227607,48060,48059,164227607,514801538,57200171,572001709,frip,33,0.1,K562
MCF7_f01_s31,0.1,0,118904571,32303,32300,118904571,411746319,45749591,457495910,frip,31,0.1,MCF7
MCF7_f01_s83,0.1,0,118904571,32303,32299,118904571,411746319,45749591,457495910,frip,83,0.1,MCF7
HEPG2_f01_s23,0.1,0,132937062,25043,25041,132937062,454695021,50521669,505216690,frip,23,0.1,HEPG2
MCF7_f01_s53,0.1,0,118904571,32303,32301,118904571,411746319,45749591,457495910,frip,53,0.1,MCF7
GM12878_f01_s2,0.1,0,220190148,30246,30233,220190148,585584726,65064970,650649696,frip,2,0.1,GM12878
K562_f01_s84,0.1,0,164227607,48060,48058,164227607,514801538,57200171,572001709,frip,84,0.1,K562
SKNSH_f01_s26,0.1,0,200980989,60714,60714,200980989,697233715,77470413,774704128,frip,26,0.1,SKNSH
GM12878_f01_s72,0.1,0,220190148,30246,30234,220190148,585584726,65064970,650649696,frip,72,0.1,GM12878
HEPG2_f01_s67,0.1,0,132937062,25043,25041,132937062,454695021,50521669,505216690,frip,67,0.1,HEPG2
SKNSH_f01_s10,0.1,0,200980989,60714,60714,200980989,697233715,77470413,774704128,frip,10,0.1,SKNSH
