,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line
K562_c20000_s19,0.3,28060,428117165,20000,0,0,215539311,92572840,308112151,cells,19,20000.0,K562
GM12878_c20000_s71,0.329,10246,299504989,20000,0,0,383511469,187823386,571334855,cells,71,20000.0,GM12878
HEPG2_c20000_s92,0.287,5043,126392814,20000,0,0,364704051,147056887,511760938,cells,92,20000.0,HEPG2
MCF7_c20000_s14,0.286,12303,219847108,20000,0,0,254644789,101908584,356553373,cells,14,20000.0,MCF7
SKNSH_c20000_s79,0.285,40714,653193036,20000,0,0,230459169,92032912,322492081,cells,79,20000.0,SKNSH
HEPG2_c20000_s21,0.288,5043,128978964,20000,0,0,362768293,146406495,509174788,cells,21,20000.0,HEPG2
HEPG2_c20000_s20,0.287,5043,129190664,20000,0,0,362669800,146293288,508963088,cells,20,20000.0,HEPG2
SKNSH_c20000_s65,0.285,40714,654080029,20000,0,0,229972330,91632758,321605088,cells,65,20000.0,SKNSH
SKNSH_c20000_s36,0.286,40714,656729670,20000,0,0,227882895,91072552,318955447,cells,36,20000.0,SKNSH
MCF7_c20000_s6,0.286,12303,219922013,20000,0,0,254619002,101859466,356478468,cells,6,20000.0,MCF7
GM12878_c20000_s9,0.328,10246,292937652,20000,0,0,388499591,189402601,577902192,cells,9,20000.0,GM12878
K562_c20000_s97,0.301,28060,428962195,20000,0,0,214902413,92364708,307267121,cells,97,20000.0,K562
GM12878_c20000_s50,0.327,10246,317640377,20000,0,0,372545127,180654340,553199467,cells,50,20000.0,GM12878
MCF7_c20000_s23,0.286,12303,220687277,20000,0,0,254084527,101628677,355713204,cells,23,20000.0,MCF7
HEPG2_c7500_s60,0.287,17543,445614502,7500,0,0,137351139,55188111,192539250,cells,60,7500.0,HEPG2
GM12878_c7500_s55,0.328,22746,643469265,7500,0,0,152886489,74484090,227370579,cells,55,7500.0,GM12878
SKNSH_c7500_s95,0.285,53214,853828098,7500,0,0,87099198,34757821,121857019,cells,95,7500.0,SKNSH
SKNSH_c7500_s15,0.286,53214,854479196,7500,0,0,86577967,34627954,121205921,cells,15,7500.0,SKNSH
HEPG2_c7500_s41,0.287,17543,446450449,7500,0,0,136667852,55035451,191703303,cells,41,7500.0,HEPG2
K562_c7500_s80,0.3,40560,622452208,7500,0,0,79592897,34184211,113777108,cells,80,7500.0,K562
GM12878_c7500_s56,0.328,22746,647880053,7500,0,0,149829454,73130337,222959791,cells,56,7500.0,GM12878
K562_c7500_s50,0.301,40560,621982263,7500,0,0,79881714,34365339,114247053,cells,50,7500.0,K562
MCF7_c7500_s56,0.285,24803,443981360,7500,0,0,94626317,37792804,132419121,cells,56,7500.0,MCF7
HEPG2_c7500_s65,0.288,17543,448813717,7500,0,0,134898902,54441133,189340035,cells,65,7500.0,HEPG2
MCF7_c7500_s62,0.287,24803,442814129,7500,0,0,95279424,38306928,133586352,cells,62,7500.0,MCF7
SKNSH_c7500_s90,0.286,53214,855471732,7500,0,0,85838674,34374711,120213385,cells,90,7500.0,SKNSH
MCF7_c7500_s79,0.285,24803,441200287,7500,0,0,96641740,38558454,135200194,cells,79,7500.0,MCF7
K562_c7500_s44,0.299,40560,622293611,7500,0,0,79849688,34086017,113935705,cells,44,7500.0,K562
GM12878_c7500_s39,0.327,22746,637714670,7500,0,0,156869879,76255295,233125174,cells,39,7500.0,GM12878
